YEAR,MONTH,TYPE,Incident_Count
2002,4,Vehicle Collision or Pedestrian Struck (with Injury),107
2002,5,Break and Enter Commercial,271
2002,5,Break and Enter Residential/Other,404
2002,5,Mischief,408
2002,5,Offence Against a Person,378
2002,5,Other Theft,261
2002,5,Theft from Vehicle,1198
2002,5,Theft of Bicycle,103
2002,5,Theft of Vehicle,274
2002,5,Vehicle Collision or Pedestrian Struck (with Injury),120
2002,6,Break and Enter Commercial,224
2002,6,Break and Enter Residential/Other,462
2002,6,Mischief,424
2002,6,Offence Against a Person,359
2002,6,Other Theft,277
2002,6,Theft from Vehicle,1240
2002,6,Theft of Bicycle,197
2002,6,Theft of Vehicle,286
2002,6,Vehicle Collision or Pedestrian Struck (with Injury),120
2002,7,Break and Enter Commercial,238
2002,7,Break and Enter Residential/Other,492
2002,7,Mischief,493
2002,7,Offence Against a Person,389
2002,7,Other Theft,231
2002,7,Theft from Vehicle,1207
2002,7,Theft of Bicycle,242
2002,7,Theft of Vehicle,248
2002,7,Vehicle Collision or Pedestrian Struck (with Injury),107
2002,8,Break and Enter Commercial,223
2002,8,Break and Enter Residential/Other,436
2002,8,Mischief,459
2002,8,Offence Against a Person,416
2002,8,Other Theft,228
2002,8,Theft from Vehicle,1227
2002,8,Theft of Bicycle,222
2002,8,Theft of Vehicle,320
2002,8,Vehicle Collision or Pedestrian Struck (with Injury),125
2002,9,Break and Enter Commercial,201
2002,9,Break and Enter Residential/Other,488
2002,9,Mischief,456
2002,9,Offence Against a Person,350
2002,9,Other Theft,247
2002,9,Theft from Vehicle,1177
2002,9,Theft of Bicycle,134
2002,9,Theft of Vehicle,359
2002,9,Vehicle Collision or Pedestrian Struck (with Injury),111
2002,10,Break and Enter Commercial,233
2002,10,Break and Enter Residential/Other,600
2002,10,Mischief,477
2002,10,Offence Against a Person,369
2002,10,Other Theft,202
2002,10,Theft from Vehicle,1116
2002,10,Theft of Bicycle,128
2002,10,Theft of Vehicle,340
2002,10,Vehicle Collision or Pedestrian Struck (with Injury),117
2002,11,Break and Enter Commercial,206
2002,11,Break and Enter Residential/Other,510
2002,11,Mischief,353
2002,11,Offence Against a Person,324
2002,11,Other Theft,214
2002,11,Theft from Vehicle,1313
2002,11,Theft of Bicycle,67
2002,11,Theft of Vehicle,274
2002,11,Vehicle Collision or Pedestrian Struck (with Injury),101
2002,12,Break and Enter Commercial,280
2002,12,Break and Enter Residential/Other,543
2002,12,Mischief,405
2002,12,Offence Against a Person,345
2002,12,Other Theft,221
2002,12,Theft from Vehicle,1306
2002,12,Theft of Bicycle,54
2002,12,Theft of Vehicle,252
2002,12,Vehicle Collision or Pedestrian Struck (with Injury),115
2003,1,Break and Enter Commercial,290
2003,1,Break and Enter Residential/Other,486
2003,1,Mischief,357
2003,1,Offence Against a Person,377
2003,1,Other Theft,254
2003,1,Theft from Vehicle,1307
2003,1,Theft of Bicycle,57
2003,1,Theft of Vehicle,304
2003,1,Vehicle Collision or Pedestrian Struck (with Injury),115
2003,2,Break and Enter Commercial,174
2003,2,Break and Enter Residential/Other,381
2003,2,Mischief,343
2003,2,Offence Against a Person,291
2003,2,Other Theft,242
2003,2,Theft from Vehicle,966
2003,2,Theft of Bicycle,56
2003,2,Theft of Vehicle,236
2003,2,Vehicle Collision or Pedestrian Struck (with Injury),93
2003,3,Break and Enter Commercial,214
2003,3,Break and Enter Residential/Other,397
2003,3,Mischief,356
2003,3,Offence Against a Person,366
2003,3,Other Theft,266
2003,3,Theft from Vehicle,1048
2003,3,Theft of Bicycle,71
2003,3,Theft of Vehicle,232
2003,3,Vehicle Collision or Pedestrian Struck (with Injury),100
2003,4,Break and Enter Commercial,192
2003,4,Break and Enter Residential/Other,408
2003,4,Mischief,400
2003,4,Offence Against a Person,358
2003,4,Other Theft,269
2003,4,Theft from Vehicle,1048
2003,4,Theft of Bicycle,82
2003,4,Theft of Vehicle,228
2003,4,Vehicle Collision or Pedestrian Struck (with Injury),91
2003,5,Break and Enter Commercial,187
2003,5,Break and Enter Residential/Other,414
2003,5,Mischief,428
2003,5,Offence Against a Person,392
2003,5,Other Theft,252
2003,5,Theft from Vehicle,1037
2003,5,Theft of Bicycle,108
2003,5,Theft of Vehicle,257
2003,5,Vehicle Collision or Pedestrian Struck (with Injury),80
2003,6,Break and Enter Commercial,210
2003,6,Break and Enter Residential/Other,456
2003,6,Mischief,448
2003,6,Offence Against a Person,355
2003,6,Other Theft,227
2003,6,Theft from Vehicle,950
2003,6,Theft of Bicycle,137
2003,6,Theft of Vehicle,299
2003,6,Vehicle Collision or Pedestrian Struck (with Injury),114
2003,7,Break and Enter Commercial,206
2003,7,Break and Enter Residential/Other,436
2003,7,Mischief,409
2003,7,Offence Against a Person,403
2003,7,Other Theft,250
2003,7,Theft from Vehicle,933
2003,7,Theft of Bicycle,169
2003,7,Theft of Vehicle,326
2003,7,Vehicle Collision or Pedestrian Struck (with Injury),106
2003,8,Break and Enter Commercial,246
2003,8,Break and Enter Residential/Other,455
2003,8,Mischief,466
2003,8,Offence Against a Person,423
2003,8,Other Theft,296
2003,8,Theft from Vehicle,1106
2003,8,Theft of Bicycle,197
2003,8,Theft of Vehicle,329
2003,8,Vehicle Collision or Pedestrian Struck (with Injury),110
2003,9,Break and Enter Commercial,216
2003,9,Break and Enter Residential/Other,365
2003,9,Mischief,391
2003,9,Offence Against a Person,340
2003,9,Other Theft,269
2003,9,Theft from Vehicle,1078
2003,9,Theft of Bicycle,130
2003,9,Theft of Vehicle,289
2003,9,Vehicle Collision or Pedestrian Struck (with Injury),104
2003,10,Break and Enter Commercial,172
2003,10,Break and Enter Residential/Other,386
2003,10,Mischief,425
2003,10,Offence Against a Person,400
2003,10,Other Theft,229
2003,10,Theft from Vehicle,1025
2003,10,Theft of Bicycle,105
2003,10,Theft of Vehicle,321
2003,10,Vehicle Collision or Pedestrian Struck (with Injury),107
2003,11,Break and Enter Commercial,178
2003,11,Break and Enter Residential/Other,454
2003,11,Mischief,391
2003,11,Offence Against a Person,373
2003,11,Other Theft,222
2003,11,Theft from Vehicle,911
2003,11,Theft of Bicycle,46
2003,11,Theft of Vehicle,285
2003,11,Vehicle Collision or Pedestrian Struck (with Injury),98
2003,12,Break and Enter Commercial,151
2003,12,Break and Enter Residential/Other,358
2003,12,Mischief,396
2003,12,Offence Against a Person,334
2003,12,Other Theft,248
2003,12,Theft from Vehicle,817
2003,12,Theft of Bicycle,45
2003,12,Theft of Vehicle,199
2003,12,Vehicle Collision or Pedestrian Struck (with Injury),119
2004,1,Break and Enter Commercial,201
2004,1,Break and Enter Residential/Other,432
2004,1,Mischief,356
2004,1,Offence Against a Person,374
2004,1,Other Theft,272
2004,1,Theft from Vehicle,782
2004,1,Theft of Bicycle,44
2004,1,Theft of Vehicle,216
2004,1,Vehicle Collision or Pedestrian Struck (with Injury),76
2004,2,Break and Enter Commercial,192
2004,2,Break and Enter Residential/Other,404
2004,2,Mischief,456
2004,2,Offence Against a Person,337
2004,2,Other Theft,241
2004,2,Theft from Vehicle,867
2004,2,Theft of Bicycle,46
2004,2,Theft of Vehicle,202
2004,2,Vehicle Collision or Pedestrian Struck (with Injury),80
2004,3,Break and Enter Commercial,243
2004,3,Break and Enter Residential/Other,375
2004,3,Mischief,631
2004,3,Offence Against a Person,343
2004,3,Other Theft,276
2004,3,Theft from Vehicle,1061
2004,3,Theft of Bicycle,61
2004,3,Theft of Vehicle,219
2004,3,Vehicle Collision or Pedestrian Struck (with Injury),95
2004,4,Break and Enter Commercial,186
2004,4,Break and Enter Residential/Other,337
2004,4,Mischief,512
2004,4,Offence Against a Person,315
2004,4,Other Theft,267
2004,4,Theft from Vehicle,889
2004,4,Theft of Bicycle,79
2004,4,Theft of Vehicle,228
2004,4,Vehicle Collision or Pedestrian Struck (with Injury),94
2004,5,Break and Enter Commercial,196
2004,5,Break and Enter Residential/Other,368
2004,5,Mischief,426
2004,5,Offence Against a Person,363
2004,5,Other Theft,316
2004,5,Theft from Vehicle,919
2004,5,Theft of Bicycle,134
2004,5,Theft of Vehicle,240
2004,5,Vehicle Collision or Pedestrian Struck (with Injury),109
2004,6,Break and Enter Commercial,173
2004,6,Break and Enter Residential/Other,378
2004,6,Mischief,413
2004,6,Offence Against a Person,334
2004,6,Other Theft,260
2004,6,Theft from Vehicle,1017
2004,6,Theft of Bicycle,119
2004,6,Theft of Vehicle,207
2004,6,Vehicle Collision or Pedestrian Struck (with Injury),86
2004,7,Break and Enter Commercial,188
2004,7,Break and Enter Residential/Other,364
2004,7,Mischief,432
2004,7,Offence Against a Person,375
2004,7,Other Theft,234
2004,7,Theft from Vehicle,875
2004,7,Theft of Bicycle,178
2004,7,Theft of Vehicle,197
2004,7,Vehicle Collision or Pedestrian Struck (with Injury),113
2004,8,Break and Enter Commercial,201
2004,8,Break and Enter Residential/Other,353
2004,8,Mischief,443
2004,8,Offence Against a Person,396
2004,8,Other Theft,243
2004,8,Theft from Vehicle,943
2004,8,Theft of Bicycle,155
2004,8,Theft of Vehicle,213
2004,8,Vehicle Collision or Pedestrian Struck (with Injury),117
2004,9,Break and Enter Commercial,159
2004,9,Break and Enter Residential/Other,385
2004,9,Mischief,366
2004,9,Offence Against a Person,365
2004,9,Other Theft,269
2004,9,Theft from Vehicle,1000
2004,9,Theft of Bicycle,159
2004,9,Theft of Vehicle,185
2004,9,Vehicle Collision or Pedestrian Struck (with Injury),98
2004,10,Break and Enter Commercial,179
2004,10,Break and Enter Residential/Other,376
2004,10,Mischief,469
2004,10,Offence Against a Person,373
2004,10,Other Theft,242
2004,10,Theft from Vehicle,1016
2004,10,Theft of Bicycle,119
2004,10,Theft of Vehicle,178
2004,10,Vehicle Collision or Pedestrian Struck (with Injury),124
2004,11,Break and Enter Commercial,139
2004,11,Break and Enter Residential/Other,321
2004,11,Mischief,440
2004,11,Offence Against a Person,311
2004,11,Other Theft,283
2004,11,Theft from Vehicle,972
2004,11,Theft of Bicycle,56
2004,11,Theft of Vehicle,185
2004,11,Vehicle Collision or Pedestrian Struck (with Injury),115
2004,12,Break and Enter Commercial,167
2004,12,Break and Enter Residential/Other,339
2004,12,Mischief,332
2004,12,Offence Against a Person,340
2004,12,Other Theft,239
2004,12,Theft from Vehicle,957
2004,12,Theft of Bicycle,26
2004,12,Theft of Vehicle,150
2004,12,Vehicle Collision or Pedestrian Struck (with Injury),78
2005,1,Break and Enter Commercial,179
2005,1,Break and Enter Residential/Other,370
2005,1,Mischief,369
2005,1,Offence Against a Person,349
2005,1,Other Theft,288
2005,1,Theft from Vehicle,897
2005,1,Theft of Bicycle,29
2005,1,Theft of Vehicle,176
2005,1,Vehicle Collision or Pedestrian Struck (with Injury),82
2005,2,Break and Enter Commercial,152
2005,2,Break and Enter Residential/Other,317
2005,2,Mischief,314
2005,2,Offence Against a Person,289
2005,2,Other Theft,337
2005,2,Theft from Vehicle,971
2005,2,Theft of Bicycle,52
2005,2,Theft of Vehicle,164
2005,2,Vehicle Collision or Pedestrian Struck (with Injury),88
2005,3,Break and Enter Commercial,151
2005,3,Break and Enter Residential/Other,267
2005,3,Mischief,375
2005,3,Offence Against a Person,286
2005,3,Other Theft,324
2005,3,Theft from Vehicle,842
2005,3,Theft of Bicycle,43
2005,3,Theft of Vehicle,154
2005,3,Vehicle Collision or Pedestrian Struck (with Injury),100
2005,4,Break and Enter Commercial,136
2005,4,Break and Enter Residential/Other,256
2005,4,Mischief,362
2005,4,Offence Against a Person,337
2005,4,Other Theft,323
2005,4,Theft from Vehicle,747
2005,4,Theft of Bicycle,127
2005,4,Theft of Vehicle,148
2005,4,Vehicle Collision or Pedestrian Struck (with Injury),92
2005,5,Break and Enter Commercial,185
2005,5,Break and Enter Residential/Other,263
2005,5,Mischief,426
2005,5,Offence Against a Person,333
2005,5,Other Theft,329
2005,5,Theft from Vehicle,817
2005,5,Theft of Bicycle,186
2005,5,Theft of Vehicle,154
2005,5,Vehicle Collision or Pedestrian Struck (with Injury),95
2005,6,Break and Enter Commercial,154
2005,6,Break and Enter Residential/Other,224
2005,6,Mischief,388
2005,6,Offence Against a Person,312
2005,6,Other Theft,320
2005,6,Theft from Vehicle,803
2005,6,Theft of Bicycle,167
2005,6,Theft of Vehicle,151
2005,6,Vehicle Collision or Pedestrian Struck (with Injury),120
2005,7,Break and Enter Commercial,142
2005,7,Break and Enter Residential/Other,230
2005,7,Mischief,404
2005,7,Offence Against a Person,346
2005,7,Other Theft,299
2005,7,Theft from Vehicle,799
2005,7,Theft of Bicycle,285
2005,7,Theft of Vehicle,152
2005,7,Vehicle Collision or Pedestrian Struck (with Injury),134
2005,8,Break and Enter Commercial,157
2005,8,Break and Enter Residential/Other,285
2005,8,Mischief,378
2005,8,Offence Against a Person,365
2005,8,Other Theft,275
2005,8,Theft from Vehicle,871
2005,8,Theft of Bicycle,310
2005,8,Theft of Vehicle,162
2005,8,Vehicle Collision or Pedestrian Struck (with Injury),102
2005,9,Break and Enter Commercial,152
2005,9,Break and Enter Residential/Other,325
2005,9,Mischief,363
2005,9,Offence Against a Person,324
2005,9,Other Theft,290
2005,9,Theft from Vehicle,927
2005,9,Theft of Bicycle,183
2005,9,Theft of Vehicle,135
2005,9,Vehicle Collision or Pedestrian Struck (with Injury),114
2005,10,Break and Enter Commercial,167
2005,10,Break and Enter Residential/Other,338
2005,10,Mischief,370
2005,10,Offence Against a Person,334
2005,10,Other Theft,276
2005,10,Theft from Vehicle,806
2005,10,Theft of Bicycle,110
2005,10,Theft of Vehicle,166
2005,10,Vehicle Collision or Pedestrian Struck (with Injury),124
2005,11,Break and Enter Commercial,155
2005,11,Break and Enter Residential/Other,339
2005,11,Mischief,355
2005,11,Offence Against a Person,305
2005,11,Other Theft,295
2005,11,Theft from Vehicle,831
2005,11,Theft of Bicycle,88
2005,11,Theft of Vehicle,154
2005,11,Vehicle Collision or Pedestrian Struck (with Injury),141
2005,12,Break and Enter Commercial,128
2005,12,Break and Enter Residential/Other,283
2005,12,Mischief,326
2005,12,Offence Against a Person,305
2005,12,Other Theft,306
2005,12,Theft from Vehicle,696
2005,12,Theft of Bicycle,61
2005,12,Theft of Vehicle,166
2005,12,Vehicle Collision or Pedestrian Struck (with Injury),86
2006,1,Break and Enter Commercial,126
2006,1,Break and Enter Residential/Other,255
2006,1,Mischief,386
2006,1,Offence Against a Person,314
2006,1,Other Theft,323
2006,1,Theft from Vehicle,710
2006,1,Theft of Bicycle,52
2006,1,Theft of Vehicle,162
2006,1,Vehicle Collision or Pedestrian Struck (with Injury),120
2006,2,Break and Enter Commercial,109
2006,2,Break and Enter Residential/Other,246
2006,2,Mischief,357
2006,2,Offence Against a Person,322
2006,2,Other Theft,291
2006,2,Theft from Vehicle,627
2006,2,Theft of Bicycle,68
2006,2,Theft of Vehicle,103
2006,2,Vehicle Collision or Pedestrian Struck (with Injury),122
2006,3,Break and Enter Commercial,159
2006,3,Break and Enter Residential/Other,302
2006,3,Mischief,331
